Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25;Field26;Field27;Field28;Field29;Field30;Field31;Field32;Field33;Field34;Field35;Field36;Field37;Field38;Field39;Field40;Field41;Field42;Field43
Anelli di cipolla fritti 1;Antipasti;Cipolle;4;310;1240;3 grosse cipolle;120 gr. circa di farina;3 cucchiai di olio extravergine;1 dl di latte;1 albume;sale;pepe;olio per friggere;;;;;;;;;;;Mescolare la farina con l'olio.;Diluire con il latte, aggiungere un pizzico di sale e di pepe.;Coprire la terrina e far riposare la pastella per 2 ore.;Montare a neve ben ferma l'albume e amalgamarlo alla pastella.;Tagliare le cipolle a fette spesse e dividere gli anelli.;Immergerli nella pastella e friggerli pochi alla volta.;Toglierli quando saranno dorati e croccanti.;Farli asciugare bene su carta da cucina.;;;;;;;;;;;
Anelli di cipolla fritti 2;Antipasti;Cipolla;;;0;90 gr. di farina;100 ml di latte;1/2 cucchiaino di lievito chimico;1 cucchiaio di olio d'oliva;sale q.b.;1 uovo;;;cipolle;;olio per friggere;;;;;;;;Fare la pastella con l'uovo intero;Far riposare in frigo 30 min;Pulire e affettare la cipolla ad anelli;Passarli nella pastella e friggerli in abbondante olio caldo;;;;;;;;;;;;;;;Dopo aver fatto riposare la pastella si può aggiungere della paprika o del coriandolo
Anelli di cipolle fritti 3;Antipasti;Cipolle;4;;0;300 gr. di cipolle;2 uova;olio per friggere;sale;;;;;;;;;;;;;;;Sbattere le uova in un piatto.;Affettare le cipolle in fette grosse e compatte.;Passarle nell'uovo.;Friggerle in olio molto caldo in modo che l'uovo si rapprenda subito.;Devono mantenere la forma.;Scolarle su carta da cucina.;Salarle e servirle calde.;;;;;;;;;;;;
Anelli di cipolle fritti 4;Antipasti;Cipolle;4;;0;300 gr. di cipolle;200 gr. di farina;olio di oliva;sale;;;;;;;;;;;;;;;Stemperare la farina con 3 dl di acqua, fino ad ottenere una pastella.;Unire una presa di sale e 3 cucchiai di olio.;Mescolare bene.;Affettare sottili le cipolle e unirle alla pastella.;Lasciar riposare per un'ora.;Scaldare l'olio di oliva in una capace padella.;Friggere le cipolle a cucchiaiate nell'olio ben caldo.;Sgocciolarle su carta da cucina.;Servirle subito.;;;;;;;;;;
Antipasti natalizi e pasquali;Antipasti;Ricotta;;;0;250 gr. di ricotta;250 gr. di asiago;pane da tramezzini;burro;;;;;;;;;;;;;;;Spalmare il pane da tramezzini con il burro fuso;Tagliarlo con le formine natalizie o pasquali.;Mettere le figurine in forno a 180° x 10 min.;Grattuggiare a filetti l'asiago;Mescolarlo alla ricotta;Riempire gli stampini tridimensionali natalizi o pasquali;Mettere ogni oggetto su una figurina di pane;Servire ;;;;;;;;;;;Belli e buoni!!!
Baba ganousch;Antipasti;Melanzana;;;0;una melanzana viola grande;sale;olio;cumino;coriandolo in polvere;aglio;pepe;;;;;;;;;;;;Avvolgere la melanzana in carta d'alluminio;Cuocerla in forno caldo per 45 min.;Farla raffreddare bene.;Togliere la polpa dalla buccia con un cucchiaio.;Frullarla con olio, sale e pepe.;Aggiungere coriandolo, un po' d'aglio e un po' di cumino.;Frullare e assaggiare.;Servire subito o dopo che è stata in frigo per un po'.;;;;;;;;;;;Buonaaaaaaaaaaa
Bastoncini al cumino;Antipasti;Lievito di birra;6;590;3540;500 gr. di farina;40 gr. di lievito di birra;2 cucchiai di semi di cumino;2 dl e 1\2 di latte;un cucchiaino di zucchero;olio per friggere;un cucchiaino di sale;;;;;;;;;;;;Stemperare il lievito in poco latte tiepido.;Aggiungere un po' di zucchero.;Quando si è ben sciolto aggiungerlo alla farina.;Mescolare bene.;Aggiungere un po' di sale.;Aggiungere anche il rimanente latte e 2 cucchiai di olio.;Impastare bene.;Aggiungerci il cumino.;Ungere una ciotola.;Metterci la pasta, ungerla e farla lievitare coperta con della pellicola.;Mettere la pasta sulla spianatoia infarinata.;Lavorare la pasta per qualche min.;Formare dei bastoncini lunghi 6-7 cm.;Disporli distanziati e coperti con un canovaccio.;Quando sono lievitati friggerli in olio bollente.;Asciugarli su carta da cucina.;Servirli subito.;;Sono ottimi come accompagnamento di prosciutto crudo.
Brioche al grappolo;Antipasti;Lievito di birra;8;332;2656;300 gr. di farina;150 gr. di burro fuso;3 uova;15 gr. di lievito di birra;10 gr. di zucchero;1/2 cucchiaino di sale;olive verdi farcite;1 tuorlo;2 cucchiai di latte;sale;pepe;;;;;;;;Sciogliere il lievito  in un po' di acqua tiepida zuccherata.;Aggiungerlo alla farina e mescolare bene.;Aggiungerci il sale e il burro tiepido.;Aggiungerci le uova una alla volta.;Lavorare energicamente l'impasto e farlo riposare coperto per 2 ore.;Lavorare la pasta e formare delle palline grandi come delle ciligie.;Infilare dentro ogni pallina un'oliva farcita.;Foderare una teglia con carta da forno e scaldare il forno a 200°.;Mettere le palline e dare la forma di un grappolo d'uva.;Coprire con un telo e far lievitare un'ora.;Sbattere il tuorlo insieme al latte con una forchetta.;Pennellare il composto sul grappolo d'uva.;Salare e pepare.;Cuocere per 25 min.;Quando è tiepida metterla su di un piatto da portata.;Servirla con dell'aperitivo.;;;Per completare la decorazione fare delle foglie di vite con della pasta fresca per lasagne. Tagliare le foglie di vite e metterle in forno a 220° finchè sono di colore bruno dorato. Con la cannella fare i legni.
Cake alle olive e gruviera;Antipasti;Olive;6;662;3972;300 gr. di farina;150 gr. di olive nere snocciolate;150 gr. di gruviera;3 uova;2 dl di vino bianco secco;1,5 dl di olio extravergine di oliva;1 bustina di lievito per torte salate;sale;;;;;;;;;;;Grattuggiare finemente il gruviera.;Mescolarlo alla farina, al lievito e a mezzo cucchiaino di sale.;Sbattere le uova.;Aggiungerle alla farina.;Unire l'olio, il vino e sbattere molto bene.;Mescolare il tutto alla farina.;Aggiungere le olive.;Mettere tutto in uno stampo da plumcake unto e infarinato.;Cuocere a 180° per circa 45 min.;Far raffreddare completamente.;Sfornare e tagliarlo a fette.;;;;;;;;E' ottimo se preparato il giorno prima. Accompagnare con patè di olive nere o pomodori secchi sott'olio.
Carciofi fritti;Antipasti;Carciofi;;;0;"Carciofi ""mamme romane""";farina;uova;olio per friggere;;;;;;;;;;;;;;;Pulire molto bene i carciofi e tagliarli sottili.;Infarinarli.;Passarli nell'uovo sbattuto.;Friggerli in olio ben caldo.;Asciugarli su carta assorbente.;Salarli e servirli immediatamente.;;;;;;;;;;;;;Ottimi serviti insieme ad un risotto di carciofi.
Casette di natale al formaggio;Antipasti;Grana;;;0;180 gr. di farina;3 uova;1,3 dl di latte;1.2 dl di olio di mais;125 gr. di grana;1/2 bustina x torte salate;sale;pepe;(formaggio spalmabile);;;;;;;;;;Rompere le uova e sbatterle con il grana, sale e pepe.;Mescolare con una frusta.;Mescolare la farina e il lievito.;Aggiungere alle uova;Aggiungere il latte e l'olio.;Lavorare finchè l'impasto sarà liscio ed omogeneo.;Mettere il composto nello stampo a forma di casetta.;Cuocere a 180° per  25 min. circa.;Far raffreddare. ;Estrarre dallo stampo e pareggiare la base.;;;;;;;;;FORSE fare una decorazione con il formaggio spalmabile a sembianza di neve. Servire con degli omini di neve fatti con la pasta dei frollini di grana.
Cavolfiore in pastella;Antipasti;Cavolfiore;4;360;1440;125 gr. di farina; 2 cucchiai di olio d'oliva;1 uovo;sale ;olio per friggere;600 gr. di cavolfiore;;;;;;;;;;;;;Mettere in una ciotola la farina.;Aggiungere i 2 cucchiai di olio e mescolare bene.;Incorporare l'uovo appena sbattuto.;Diluire con acqua sufficente a  rendere l'impasto morbido.;Lasciare riposare 1 ora.;Portare a bollore dell'acqua salata.;Dividere il cavolo a cimette.;Versarle nell'acqua e far riprendere il bollore.;Cuocere coperto per 10 min.;Scolare e far sgocciolare in un colapasta.;Scaldare l'olio per friggere.;Mettere le cimette, poche alla volta, nella pastella.;Friggerle facendole dorare da ambo i lati.;Metterle ad asciugare su carta da cucina.;Servirle molto calde.;;;;
Ciambella alle olive;Antipasti;Pasta di pane;4;525;2100;500 gr. di pasta di pane;3 cucchiai di patè d'olive;4 cucchiai di grana grattuggiato;3 cucchiai d'olio;;;;;;;;;;;;;;;Scaldare il forno a 190°.;Imburrare uno stampo a ciambella di 20 cm. di diametro.;Stendere la pasta in un rettangolo di 60 per 30 circa.;Spalmarlo con il patè e spolverizzarlo di grana.;Arrotolare la pasta.;Metterlo nello stampo e chiudere le due estremità.;Spennellarlo con poco olio e farlo lievitare.;Incidere la superficie in 4-5 punti con un coltellino.;Metterlo in forno per 45 min.;;;;;;;;;;
Cornetti di salame alla crema di formaggio gio;Antipasti;Ricotta;;;0;250 gr. di ricotta;250 gr. di philadelphia;1 cucchiaio scarso di miele;1 cucchiaino di senape;sale ;pepe;fette di salame sottili;sedano;carote;dischetti di piadina;;;;;;;;;Mescolare i formaggi con il miele e la senape.;Aggiungere sale e pepe.;Spalmare la salsa sulle fette di salame e chiudere a cono.;Tagliare le carote e il sedano a bastoncini.;Servire le fette di salame con le verdure e la piadina.;;;;;;;;;;;;;;Ricetta di mia invenzione.
Crema di prosciutto;Antipasti;Prosciutto cotto;;;0;250 gr. di prosciutto cotto;250 gr. di philadelphia;crostini;cruditè;;;;;;;;;;;;;;;Frullare il prosciutto cotto;Aggiungere la philadelphia;Mescolare molto bene;Servire con cruditè e/o crostini;;;;;;;;;;;;;;;Eccezzionale! Come quella col burro ma molto più leggera!
Crema di tonno;Antipasti;Tonno;;;0;250 gr. di tonno sgocciolato;250 gr. di philadelphia;verdure da cruditè;crostini;;;;;(cipolline piccolissime sott'olio);;(olive verdi tritate);;;;;;;;Mescolare bene il tonno e il formaggio.;(a piacere aggiungere le cipolline o le olive);Servire in una ciotola;Servire con cruditè e/o crostini;;;;;;;;;;;;;;;Eccezzionale! Morbidissima e leggera, sembra fatta con il burro ma è senza i grassi. Ottima in un panino.
Crema di trota salmonata;Antipasti;Trota salmonata affumicata;;;0;120-150 gr. di trota salmonata aff.;250 gr. di philadelphia;1 cucchiaino di aneto;1/2 succo di limone;;;;;crostini;;;;;;;;;;Frullare tutto insieme;Servire con i crostini;;;;;;;;;;;;;;;;;OTTIMA!!!!!!!!!!!
Crocchette di riso;Antipasti;Riso;4;472;1888;200 gr. di riso lessato ;100 gr. di formaggio emmental;2 uova;farina;noce moscata;olio per friggere;sale;pepe;;;;;;;;;;;Mescolare il riso con un cucchiaio di farina.;Aggiungere le uova, il formaggio grattato e la noce moscata.;Salare e pepare.;Impastare bene.;Fare delle palline.;Friggerle in abbondante olio caldo.;Vanno servite calde e croccanti.;;;;;;;;;;;;Si può usare anche del risotto purchè non sia troppo elaborato. Al posto dell'emmental si può usare del grana.
Croissant al peperone;Antipasti;Peperoni;16;115;1840;pasta sfoglia fresca ;un tuorlo;peperone abbrustolito e spellato;4 filetti di acciughe;un cucchiaio di capperi;latte;;;;;;;;;;;;;Passare leggermente il mattarello sulla pasta per allargarla.;Tagliare 16 spicchi.;Su di ognuno mettere un pezzettino di peperone.;Metterci un pezzettino di acciuga e un cappero.;Arrotolare i croissant dalla parte più larga.;Dare a ciascuno una forma leggermente arrotolata.;Metterli sulla placca del forno.;Sbattere il tuorlo con pochissimo latte.;Spennellarli.;Cuocerli in forno a 200° per circa 15 min.;Servirli tiepidi.;;;;;;;;"Si può farcirli anche con olive, acciughe e capperi; Sottiletta, acciughe e prezzemolo; Wursterino e senape; ecc."
Crostini al peperone;Antipasti;Peperone;4;163;652;250 gr. di ricotta;6 cucchiai di latte;12 olive verdi snocciolate;2 cucchiai di senape;10 cetriolini sott'aceto;5 filetti di acciuga + 1;sale;pepe;peperone rosso;pane da toast integrale;capperi;;;;;;;;Passare in forno il peperone.;Spellarlo e pulirlo.;Tenere da parte qualche filetto.;Frullare tutti gli ingredienti insieme esclusi i capperi.;Far dorare in forno caldo le fette di pane.;Spalmarle con la crema preparata.;Guarnire con i capperi, l'acciuga a pezzettini e i filetti di peperone.;;;;;;;;;;;;Al posto della ricotta si può usare del mascarpone (Cal per pers. 195) o usarne metà e metà (Cal per pers.179).
Crostini di funghi e formaggio MICROONDE;Antipasti;Funghi;6;;0;3 fette di pancarrè;100 gr. di funghi sott'olio;20 gr. di formaggio grattuggiato;;;;;;;;;;;;;;;;Tritare molto finemente i funghi.;Togliere la crosta al pane.;Spalmarlo con i funghi tritati.;Cospargere di grana.;Tagliare ogni fetta in quattro parti.;Mettere in un recipiente adatto e cuocere a 750w per 1-2 min.;;;;;;;;;;;;;
Crostoni con acciughe e capperi;Antipasti;Pane;4;219;876;100 gr. di pane tipo baghette ;8 cucchiai di polpa di pomodoro;80 gr. di filetti di acciuga;30 gr. di capperi sott'aceto;origano;basilico;aglio;olio d'oliva;pepe;sale;;;;;;;;;Mettere l'olio e l'aglio in una padella e farlo dorare.;Unire la polpa di pomodoro, i capperi, il sale, il pepe e l'origano.;Cuocere per 10 min.;Spegnere e tenere al caldo.;Tagliare il pane a fette di 2 cm. scartando le estremità.;Mettere un po' d'olio in una padella;Fare i crostini con le fette di pane (poche alla volta);Toglierle dall'olio e asciugarle su carta da cucina.;Mettere le fette di pane su di un piatto da portata.;Mettere su di ogni fetta un po' di salsa di pomodoro.;Aggiungere i filetti di acciuga e le foglie di basilico.;Servire caldi o tiepidi.;;;;;;;Si può aggiungere un po' di mozzarella tagliata a dadini.
Donzelline aromatiche;Antipasti;Salvia;;;0;180 gr. di farina;2 cucchiaiate di olio;2 cucchiaiate di marsala secco; salvia fresca;1 uovo;sale;olio per friggere;;;;;;;;;;;;Mettere la farina e tutti gli ingredienti nel frullatore. ;Per ultimo mettere le foglie di salvia. ;Tritare il tutto fino a formare una pasta. ;Standerla e tagliarla a quadratini.;Friggerla fino a doratura. ;Sevire con un aperitivo.;;;;;;;;;;;;;Molto buoni!!!!!!
Fagioli in salsa;Antipasti;Fagioli;;;0;Fagioli borlotti lessati;soppressa veneta;fegatini di pollo;poco burro;filetti di acciughe;prezzemolo;succo di limone;olio extra vergine;aglio;aceto;sale;pepe;;;;;;;Cuocere i fegatini al burro.;Tritarli assieme alla soppressa.;Tritare insieme anche l'acciuga, il prezzemolo, e 1 spicchio d'aglio.;Aggiungere l'olio, il succo di limone, un po' di aceto, sale e pepe.;Scaldare bene la salsa.;Condire con la salsa calda i fagioli.;Far riposare per qualche ora.;Servire con crostini di pane.;;;;;;;;;;;Ricetta di Mario e Giuliana
